frame_idx,match_rank,distance,kl1_sx,kl1_sy,kl1_ex,kl1_ey,kl1_angle,kl1_length,kl2_sx,kl2_sy,kl2_ex,kl2_ey,kl2_angle,kl2_length
2,34,18.0,1590.63,371.40,1918.15,374.22,0.0086,327.53,1593.12,370.80,1918.14,373.23,0.0075,325.03
2,35,2.0,1598.20,158.49,1918.59,91.61,-0.2058,327.30,1599.49,157.43,1918.43,90.83,-0.2059,325.82
2,36,15.0,1602.84,92.09,1918.56,5.98,-0.2663,327.25,1655.97,76.88,1917.68,5.24,-0.2672,271.34
2,37,10.0,1596.73,187.33,1918.40,129.64,-0.1775,326.80,1598.04,186.38,1918.47,128.81,-0.1778,325.57
2,38,10.0,1591.81,315.54,1918.20,299.61,-0.0488,326.78,1593.08,314.67,1918.22,298.81,-0.0488,325.53
2,39,6.0,1596.94,191.01,1918.55,134.31,-0.1745,326.57,1598.02,190.03,1918.41,133.49,-0.1747,325.34
2,40,3.0,1601.84,114.24,1918.46,34.44,-0.2469,326.52,1604.29,112.80,1918.56,33.59,-0.2469,324.09
2,41,6.0,1595.49,219.68,1918.38,172.36,-0.1455,326.34,1596.97,218.75,1918.26,171.57,-0.1458,324.74
2,42,15.0,1591.89,378.47,1918.14,383.64,0.0159,326.29,1594.38,377.70,1918.15,382.85,0.0159,323.81
2,43,18.0,1591.87,357.45,1918.13,355.81,-0.0050,326.26,1593.12,356.70,1918.13,354.98,-0.0053,325.02
2,44,24.0,1591.88,368.12,1918.13,369.67,0.0048,326.26,1593.13,367.38,1918.13,368.86,0.0045,325.01
2,45,10.0,1594.22,251.78,1918.30,214.67,-0.1140,326.20,1595.65,250.83,1918.36,213.89,-0.1140,324.81
2,46,7.0,1601.77,125.19,1918.58,48.76,-0.2367,325.90,1603.06,124.12,1918.39,47.98,-0.2369,324.39
2,47,5.0,1595.42,230.35,1918.24,186.51,-0.1350,325.79,1596.71,229.44,1918.30,185.67,-0.1353,324.55
2,48,9.0,1594.31,262.51,1918.35,229.02,-0.1030,325.76,1595.47,261.61,1918.27,228.24,-0.1030,324.52
2,49,15.0,1593.11,340.12,1918.16,332.24,-0.0243,325.15,1594.37,339.22,1918.17,331.37,-0.0242,323.90
2,50,18.0,1593.11,350.75,1918.15,346.31,-0.0137,325.07,1598.11,349.76,1918.16,345.55,-0.0132,320.07
2,51,10.0,254.39,69.95,564.39,78.70,0.0282,310.12,255.64,68.95,564.39,77.67,0.0283,308.87
2,52,5.0,1626.00,663.08,1918.80,748.32,0.2833,304.95,1627.41,662.53,1918.71,747.38,0.2834,303.40
2,53,14.0,250.64,66.49,554.41,75.69,0.0303,303.91,251.91,65.56,551.91,74.55,0.0300,300.13
2,54,12.0,1629.91,658.77,1918.79,742.05,0.2807,300.65,1631.81,658.35,1918.70,741.13,0.2809,298.59
2,55,11.0,1630.61,648.19,1918.43,728.27,0.2714,298.76,1631.68,647.56,1918.66,727.46,0.2715,297.89
2,56,15.0,1238.16,886.88,1240.20,589.36,-1.5639,297.52,1239.29,884.37,1243.04,441.87,-1.5623,442.52
2,57,16.0,1629.15,597.85,1918.71,664.32,0.2257,297.09,1580.85,585.88,1918.65,663.35,0.2255,346.56
2,58,11.0,1631.66,587.85,1918.59,650.99,0.2166,293.80,1631.60,586.90,1918.54,650.01,0.2165,293.80
2,59,12.0,1631.63,555.65,1918.52,609.80,0.1866,291.95,1635.50,533.86,1918.45,581.18,0.1657,286.88
2,60,7.0,1631.76,545.05,1918.48,596.16,0.1764,291.24,1633.12,544.37,1918.43,595.19,0.1763,289.79
2,61,3.0,406.89,279.30,696.89,276.21,-0.0106,290.02,408.13,278.45,698.13,275.24,-0.0111,290.02
2,62,11.0,1632.91,534.39,1918.50,582.12,0.1656,289.55,1635.50,533.86,1918.45,581.18,0.1657,286.88
2,63,3.0,1585.21,286.91,1598.27,0.63,-1.5252,286.58,1583.89,343.16,1599.93,0.59,-1.5240,342.94
2,64,7.0,1600.27,78.15,1875.14,0.00,-0.2770,285.76,1603.05,76.63,1871.45,0.00,-0.2781,279.13
2,65,5.0,1636.76,459.37,1918.37,485.45,0.0924,282.82,1640.57,458.76,1918.34,484.58,0.0927,278.97
2,66,3.0,0.64,1044.46,275.68,1012.35,-0.1163,276.91,34.48,1040.25,278.23,1011.56,-0.1171,245.44
